Route_id,Dari,Sampai,Jalur,Lajur,"Tanggal
 Pelaksanaan",Keterangan
motorway,746+400,746+600,A,3,2026,Scrapping Filling
motorway,,,B,1,2025-07-25,Scraping Filling AC WC
motorway,,,B,2,2025-07-25,Scraping Filling AC WC
motorway,746+600,746+800,A,3,2026,Scrapping Filling
motorway,,,B,2,2025-10-02,Scrapping Filling AC WC
motorway,746+800,747+000,A,3,2026,Scrapping Filling
motorway,,,B,2,2026,Scrapping Filling
motorway,747+000,747+200,A,2,2025-06-10,Scraping Filling AC WC
motorway,,,B,2,2026,Scrapping Filling
motorway,747+200,747+400,A,2,2025-06-10,Scraping Filling AC WC
motorway,,,B,1,2025-07-26,Scraping Filling AC WC
motorway,747+400,747+600,A,1,2025-06-11,Scraping Filling AC WC
motorway,,,B,1,2025-06-15,Scraping Filling AC WC
motorway,747+600,747+800,A,1,2025-07-25,Scraping Filling AC WC
motorway,,,B,0,2025-10-02,Scrapping Filling AC BC
motorway,747+800,748+000,A,1,2025-07-25,Scraping Filling AC WC
motorway,,,B,1,2024-09-06,Scraping Filling AC WC
motorway,748+000,748+200,A,1,2025-06-26,Scraping Filling AC WC
motorway,,,B,1,2024-09-06,Scraping Filling AC WC
motorway,748+200,748+400,A,1,2024-07-24,Scraping Filling AC WC
motorway,,,B,1,2024-09-05,Scraping Filling AC WC
motorway,748+400,748+600,B,3,2026,Scrapping Filling
motorway,748+600,748+800,B,3,2026,Scrapping Filling
motorway,748+800,749+000,A,1,2024-07-29,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,749+000,749+200,A,1,2024-07-29,Scraping Filling AC WC
motorway,,,B,2,2026,Scrapping Filling
motorway,749+200,749+400,A,1,2025-06-12,Scraping Filling AC WC
motorway,,,B,2,2026,Scrapping Filling
motorway,749+400,749+600,A,1,2025-06-13,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,749+600,749+800,A,1,2025-06-13,Scraping Filling AC WC
motorway,,,B,1,2025-09-28,Scrapping Filling AC WC
motorway,749+800,750+000,A,1,2024-07-30,Scraping Filling AC WC
motorway,,,B,2,2026,Scrapping Filling
motorway,750+000,750+200,A,3,2026,Scrapping Filling
motorway,,,B,1,2025-06-17,Scraping Filling AC WC
motorway,750+200,750+400,A,1,2026,Scrapping Filling
motorway,,,A,2,2026,Scrapping Filling
motorway,,,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,750+400,750+600,A,1,2026,Scrapping Filling
motorway,,,A,2,2026,Scrapping Filling
motorway,,,A,3,2026,Scrapping Filling
motorway,,,B,1,2025-10-23,Scrapping Filling AC WC
motorway,750+600,750+800,A,2,2026,Scrapping Filling
motorway,,,A,3,2026,Scrapping Filling
motorway,,,B,2,2026,Scrapping Filling
motorway,750+800,751+000,A,2,2026,Scrapping Filling
motorway,,,A,3,2026,Scrapping Filling
motorway,,,B,2,2026,Scrapping Filling
motorway,751+000,751+200,A,2,2023,Scraping Filling AC WC
motorway,,,A,3,2023,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,751+200,751+400,A,2,2023,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,751+400,751+600,A,2,2025-06-18,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,751+600,751+800,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,751+800,752+000,A,3,2026,Scrapping Filling
motorway,752+000,752+200,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,752+200,752+400,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,752+400,752+600,A,3,2026,Scrapping Filling
motorway,,,B,2,2025-06-04,Scraping Filling AC WC
motorway,752+600,752+800,A,1,2025-06-17,Scraping Filling AC WC
motorway,,,B,2,2025-06-04,Scraping Filling AC WC
motorway,752+800,753+000,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-09-04,Scraping Filling AC WC
motorway,,,B,2,2024-09-04,Scraping Filling AC WC
motorway,753+000,753+200,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-09-04,Scraping Filling AC WC
motorway,753+200,753+400,A,3,2026,Scrapping Filling
motorway,,,A,3,2026,Scrapping Filling
motorway,,,B,2,2025-06-04,Scraping Filling AC WC
motorway,753+400,753+600,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,753+600,753+800,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,753+800,754+000,A,3,2026,Scrapping Filling
motorway,754+000,754+200,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,754+200,754+400,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,754+400,754+600,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,754+600,754+800,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,754+800,755+000,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-08-31,Scraping Filling AC WC
motorway,755+000,755+200,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,755+200,755+400,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,755+400,755+600,A,2,2025-06-16,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,755+600,755+800,A,3,2024-08-02,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,755+800,756+000,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,756+000,756+200,A,3,2026,Scrapping Filling
motorway,,,B,2,2024-08-15,Scraping Filling AC WC
motorway,756+200,756+400,A,1,2025-08-14,Scraping Filling AC WC
motorway,,,B,1,2025-10-28,Scrapping Filling AC WC
motorway,,,B,2,2025-10-28,Scrapping Filling AC WC
motorway,,,B,3,2025-10-28,Scrapping Filling AC WC
motorway,,,B,OFFRAMP,2025-10-28,Scrapping Filling AC WC
motorway,756+400,756+600,A,1,2025-08-14,Scraping Filling AC WC
motorway,,,B,1,2025-10-17,Scrapping Filling AC WC
motorway,756+600,756+800,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,756+800,757+000,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,757+000,757+200,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-08-12,Scraping Filling AC WC
motorway,757+200,757+400,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-08-12,Scraping Filling AC WC
motorway,757+400,757+600,A,3,2024-08-05,Scraping Filling AC WC
motorway,,,B,1,2024-08-12,Scraping Filling AC WC
motorway,757+600,757+800,A,2,2024-08-06,Scraping Filling AC WC
motorway,757+800,758+000,A,2,2024-08-06,Scraping Filling AC WC
motorway,758+000,758+200,A,3,2025-07-28,Scraping Filling AC WC
motorway,,,B,1,2024-09-13,Scraping Filling AC WC
motorway,758+200,758+400,B,1,2024-09-13,Scraping Filling AC WC
motorway,758+400,758+600,A,2,2025-07-30,Scraping Filling AC WC
motorway,,,B,2,2024-09-10,
motorway,,,B,2,2024-09-10,Scraping Filling AC WC
motorway,758+600,758+800,A,2,2025-07-31,Scraping Filling AC WC
motorway,758+800,759+000,A,2,2025-07-31,Scraping Filling AC WC
motorway,759+000,759+200,,,,
motorway,759+200,759+400,A,2,2024-04-27,Scraping Filling AC WC
motorway,,,B,1,2026,Scrapping Filling
motorway,759+400,759+600,A,2,2024-06-02,Scraping Filling AC WC
motorway,,,B,1,2026,Scrapping Filling
motorway,759+600,759+800,A,3,2026,Scrapping Filling
motorway,759+800,760+000,A,3,2026,Scrapping Filling
motorway,760+000,760+200,,,,
motorway,760+200,760+400,,,,
motorway,760+400,760+600,B,1,2023,Scraping Filling AC WC
motorway,760+600,760+800,A,3,2026,Scrapping Filling
motorway,,,B,1,2026,Scrapping Filling
motorway,760+800,761+000,A,3,2026,Scrapping Filling
motorway,,,B,1,2026,Scrapping Filling
motorway,761+000,761+200,B,1,2026,Scrapping Filling
motorway,761+200,761+400,A,2,2024-08-07,Scraping Filling AC WC
motorway,761+400,761+600,A,2,2024-08-07,Scraping Filling AC WC
motorway,,,A,3,2024-08-07,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,761+600,761+800,A,2,2024-08-08,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,761+800,762+000,A,2,2024-08-08,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,762+000,762+200,A,3,2026,Scrapping Filling
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,762+200,762+400,A,3,2026,Scrapping Filling
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,762+400,762+600,A,2,2025-08-02,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,762+600,762+800,A,2,2025-08-04,Scraping Filling AC WC
motorway,,,B,1,2023,Scraping Filling AC WC
motorway,762+800,763+000,A,2,2025-08-13,Overlay AC WC
motorway,,,A,3,2025-08-13,Overlay AC WC
motorway,,,B,1,2025-07-23,Scraping Filling AC WC
motorway,763+000,763+200,A,3,2026,Scrapping Filling
motorway,,,B,1,2025-07-23,Scraping Filling AC WC
motorway,763+200,763+400,A,3,2026,Scrapping Filling
motorway,,,B,1,2026,Scrapping Filling
motorway,763+400,763+600,A,2,2026,Scrapping Filling
motorway,,,B,1,2026,Scrapping Filling
motorway,763+600,763+800,A,2,2026,Scrapping Filling
motorway,,,B,1,2026,Scrapping Filling
motorway,763+800,764+000,,,,
motorway,764+000,764+200,,,,
motorway,764+200,764+400,,,,
motorway,764+400,764+600,,,,
motorway,764+600,764+800,,,,
motorway,764+800,765+000,,,,
motorway,765+000,765+200,,,,
motorway,765+200,765+400,B,1,2025-07-18,Scraping Filling AC WC
motorway,765+400,765+600,,,,
motorway,765+600,765+800,,,,
motorway,765+800,766+000,A,1,2025-08-08,Scraping Filling AC WC
motorway,766+000,766+200,A,1,2025-08-08,Scraping Filling AC WC
motorway,766+200,766+400,,,,
motorway,766+400,766+600,B,3,2025-07-17,Scraping Filling AC WC
motorway,766+600,766+800,B,3,2025-07-17,Scraping Filling AC WC
motorway,766+800,767+000,,,,
motorway,767+000,767+200,,,,
motorway,767+200,767+400,B,3,2025-07-16,Scraping Filling AC WC
motorway,767+400,767+600,B,3,2025-07-16,Scraping Filling AC WC
motorway,767+600,767+800,A,3,2025-08-21,Scraping Filling AC WC
motorway,,,B,3,2025-07-15,Scraping Filling AC WC
motorway,767+800,768+000,A,3,2025-08-21,Scraping Filling AC WC
motorway,,,B,3,2025-07-14,Scraping Filling AC WC
motorway,768+000,768+200,A,3,2025-08-21,Scraping Filling AC WC
motorway,,,B,3,2025-07-09,Scraping Filling AC WC
motorway,768+200,768+400,B,3,2025-07-09,Scraping Filling AC WC
motorway,768+400,768+600,B,3,2025-07-08,Scraping Filling AC WC
motorway,768+600,768+800,,,,
motorway,768+800,769+000,,,,
motorway,769+000,769+200,,,,
motorway,769+200,769+400,,,,
motorway,769+400,769+600,A,1,2025-06-24,Scraping Filling AC WC
motorway,,,B,2,2025-06-25,Overlay AC WC
motorway,769+600,769+800,,,,
motorway,769+800,770+000,A,1,2025-06-24,Scraping Filling AC WC
motorway,,,B,1,2025-06-25,Scraping Filling AC WC
motorway,770+000,770+200,A,1,2025-06-24,Scraping Filling AC WC
motorway,,,B,1,2025-06-25,Scraping Filling AC WC
motorway,770+200,770+400,,,,
motorway,770+400,770+600,,,,
